State,State Name,Avg Home Value,Avg Home Value - Bottom Tier,Avg Home Value - Top Tier,% Homes Sold at Loss,% Homes Sold at Gain
AK,Alaska,263858.3333,180560,333920,17.33,82.67
AL,Alabama,140725,98252.94118,215566.242,19.97666667,80.02333333
AR,Arkansas,137354.5455,95977.38095,213573.4043,12.99,87.01
AZ,Arizona,248024.3243,160782.4176,333802.1277,14.31363636,85.68636364
CA,California,629035.6725,476747.3438,886825.8112,6.212647059,93.93342857
CO,Colorado,342575.0958,256928.3019,505369.4611,2.624285714,97.5675
CT,Connecticut,301411.0204,206586.7403,445132.5843,,
DC,District of Columbia,592919.0476,306800,964400,3.85,96.15
DE,Delaware,229461.2903,143648,266828,,
FL,Florida,228375.8831,154914.3701,426686.5731,14.72288889,85.27711111
GA,Georgia,171113.7838,118188.8889,261551.4184,10,90
HI,Hawaii,601073.2143,401625,945002.9412,,
IA,Iowa,170432.0988,123936.9231,254684.8485,,
ID,Idaho,195006.25,139589.2857,280586.4865,6.58,93.42
IL,Illinois,189000.369,136473.7634,278005.315,24.935,75.065
IN,Indiana,116626.8839,84752.42165,178850.7143,,
KS,Kansas,178046.6667,134551.0204,291232.7586,,
KY,Kentucky,160011.6071,138002,260788.8889,7.84,92.16
LA,Louisiana,159736.4055,117249.3151,214920.5556,14.71,85.29
MA,Massachusetts,409632.5893,289235.0453,565370.4615,0.63,99.37
MD,Maryland,301105.0992,233868.4887,451177.7778,19.9575,80.0425
ME,Maine,108200,,,,
MI,Michigan,159648.7755,114438.9151,242627.5168,4.45,95.55
MN,Minnesota,242350.9091,174533.8983,363913.1868,8.73,91.27
MO,Missouri,157845.6522,122082.9412,248901.9139,15.36,84.64
MS,Mississippi,111064.2857,77639.82301,179372.1854,,
MT,Montana,223185.1852,169127.2727,326457.8947,,
NC,North Carolina,186488.6427,122532.4042,288023.4528,10.96777778,89.03222222
ND,North Dakota,183138.8889,139133.3333,252350,,
NE,Nebraska,168257.971,113130,280713.6364,4.615,95.385
NH,New Hampshire,238522.7273,177645.6522,363767.2414,,
NJ,New Jersey,366547.8764,264650,506581.0764,18.36,81.64
NM,New Mexico,216693.4783,147404.3478,305642.8571,,
NV,Nevada,270594.5652,228262.069,515007.4074,19.202,80.798
NY,New York,373413.3838,245154.5052,469731.0136,4.91,95.09
OH,Ohio,135499.4889,106503.5124,226378.828,16.05,83.95
OK,Oklahoma,128507.0922,86463.46154,184875.5814,10.81,89.19
OR,Oregon,306619.9005,221186.5385,397174.6914,2.916666667,97.5
PA,Pennsylvania,181372.2906,135841.2406,257130.8186,7.693333333,92.30666667
RI,Rhode Island,294472.5806,218971.7949,487009.7561,,
SC,South Carolina,143344.2623,100192.3077,219251.7007,11.24166667,88.75833333
SD,South Dakota,238873.4939,171834.8566,359140.3251,10.37932753,89.65970362
TN,Tennessee,144770.2439,106611.583,245737.3457,7.372857143,92.62714286
TX,Texas,196154.1045,136143.8066,310401.3393,3.565,96.7475
UT,Utah,273450.6329,210125,403738.75,,
VA,Virginia,286035.2617,192049.7778,381713.253,14.69588235,85.30411765
VT,Vermont,238873.4939,171834.8566,359140.3251,10.37932753,89.65970362
WA,Washington,355881.6384,261425.0951,503439.4366,2.295,97.926
WI,Wisconsin,194114.8855,155773.3083,292952.5597,2.61,97.39
WV,West Virginia,102228.5714,70305.88235,126715.7895,,
WY,Wyoming,190872.7273,152075,284850,,
